Index,Before,After,Bit,Diff
182212,125,124,0,-1
382013,93,92,0,-1
9902,217,216,0,-1
231086,147,146,0,-1
480766,127,126,0,-1
491547,89,88,0,-1
574817,183,182,0,-1
10462,87,86,0,-1
495768,145,144,0,-1
149737,83,82,0,-1
725508,93,92,0,-1
58887,61,60,0,-1
186703,133,132,0,-1
194912,247,246,0,-1
503110,15,14,0,-1
689791,137,136,0,-1
563369,227,226,0,-1
646982,181,180,0,-1
117142,17,16,0,-1
197874,123,122,0,-1
255007,47,46,0,-1
387770,225,224,0,-1
4977,61,60,0,-1
416601,77,76,0,-1
474699,77,76,0,-1
634504,147,146,0,-1
705863,201,200,0,-1
260753,209,208,0,-1
762792,83,82,0,-1
416884,15,14,0,-1
358019,239,238,0,-1
569020,181,180,0,-1
530529,119,118,0,-1
319734,83,82,0,-1
449965,145,144,0,-1
696286,89,88,0,-1
592207,173,172,0,-1
723898,97,96,0,-1
513660,123,122,0,-1
226432,31,30,0,-1
445260,129,128,0,-1
489695,89,88,0,-1
351054,143,142,0,-1
714012,169,168,0,-1
78226,35,34,0,-1
531089,213,212,0,-1
348553,117,116,0,-1
539700,105,104,0,-1
456655,73,72,0,-1
1479,47,46,0,-1
448410,131,130,0,-1
483420,119,118,0,-1
223246,23,22,0,-1
347892,133,132,0,-1
414173,241,240,0,-1
461602,153,152,0,-1
341033,149,148,0,-1
720664,65,64,0,-1
549734,205,204,0,-1
768618,95,94,0,-1
148222,95,94,0,-1
510761,113,112,0,-1
305886,75,74,0,-1
15681,77,76,0,-1
512095,117,116,0,-1
15276,105,104,0,-1
147858,93,92,0,-1
575861,209,208,0,-1
142050,87,86,0,-1
298231,75,74,0,-1
587257,85,84,0,-1
527681,213,212,0,-1
711740,211,210,0,-1
461064,75,74,0,-1
583692,79,78,0,-1
26414,83,82,0,-1
404209,67,66,0,-1
760599,75,74,0,-1
659140,49,48,0,-1
451545,129,128,0,-1
423790,139,138,0,-1
350330,235,234,0,-1
350217,83,82,0,-1
581596,199,198,0,-1
161930,97,96,0,-1
583410,71,70,0,-1
469858,139,138,0,-1
462397,61,60,0,-1
733740,119,118,0,-1
496574,211,210,0,-1
310076,191,190,0,-1
123311,133,132,0,-1
47402,211,210,0,-1
378753,105,104,0,-1
363610,127,126,0,-1
687677,217,216,0,-1
606873,117,116,0,-1
277087,19,18,0,-1
630838,125,124,0,-1
65778,99,98,0,-1
106636,47,46,0,-1
749813,175,174,0,-1
505612,57,56,0,-1
503368,63,62,0,-1
447943,185,184,0,-1
681958,35,34,0,-1
346096,95,94,0,-1
200260,17,16,0,-1
221563,111,110,0,-1
258531,115,114,0,-1
401522,131,130,0,-1
519527,247,246,0,-1
159758,169,168,0,-1
270733,147,146,0,-1
363299,217,216,0,-1
15365,95,94,0,-1
702996,109,108,0,-1
344030,231,230,0,-1
564094,145,144,0,-1
369886,141,140,0,-1
146662,67,66,0,-1
186239,97,96,0,-1
113656,55,54,0,-1
45717,85,84,0,-1
38831,87,86,0,-1
616441,87,86,0,-1
700437,119,118,0,-1
435403,31,30,0,-1
134161,105,104,0,-1
674753,201,200,0,-1
630085,75,74,0,-1
121721,95,94,0,-1
442564,53,52,0,-1
253355,241,240,0,-1
560330,239,238,0,-1
487287,135,134,0,-1
30656,153,152,0,-1
